gc_content,kmer_0,kmer_1,kmer_2,kmer_3,kmer_4,kmer_5,kmer_6,kmer_7,kmer_8,kmer_9,kmer_10,kmer_11,kmer_12,kmer_13,kmer_14,kmer_15,kmer_16,kmer_17,kmer_18,kmer_19,kmer_20,kmer_21,kmer_22,kmer_23,kmer_24,kmer_25,kmer_26,kmer_27,kmer_28,kmer_29,kmer_30,kmer_31,kmer_32,kmer_33,kmer_34,kmer_35,kmer_36,kmer_37,kmer_38,kmer_39,kmer_40,kmer_41,kmer_42,kmer_43,kmer_44,kmer_45,kmer_46,kmer_47,kmer_48,kmer_49,kmer_50,kmer_51,kmer_52,kmer_53,kmer_54,kmer_55,kmer_56,kmer_57,kmer_58,kmer_59,kmer_60,kmer_61,kmer_62,kmer_63,sequence_length
0.28890786385329414,24401,9038,8085,23775,8361,4480,2246,8434,6403,4950,2960,6534,19094,11435,9248,23451,11444,4149,4153,11839,6419,1862,961,4324,2145,1109,873,2086,8203,3224,4809,11229,8586,2136,2100,8867,5431,1578,891,5240,3857,1360,1164,3553,6945,2208,3102,8289,20868,8198,6509,18747,11375,5645,2115,9467,9284,5721,4937,8371,20080,11735,11154,27664,498903
0.284442926279778,22547,5823,9586,18075,5880,2316,1590,4576,8036,3764,3622,6825,14312,6544,9894,18507,8228,1960,3259,6256,3017,660,679,1842,1753,627,793,1809,4713,1378,2817,5467,9862,1769,2690,9717,3976,917,922,3650,4545,1328,1693,3797,6456,1789,3453,7263,15394,4810,6712,15209,6830,2305,1791,4307,9704,3745,5255,6530,16644,5522,9070,18692,383504
0.2862686269152357,22244,5831,9417,18228,6185,2270,1594,4413,7813,3820,3814,6992,14191,5950,10181,18246,8266,1959,3539,5860,2918,630,622,1755,1782,628,834,1634,4441,1174,2770,5082,9906,1776,2704,9608,4216,909,944,3564,4866,1338,1969,4072,6494,1543,3564,7595,15304,4896,6780,14872,6305,2116,1718,3735,9533,3847,5628,6498,16726,5207,8991,18323,380632
0.28398797052840274,16191,6750,4319,15860,5693,3448,1727,5908,3135,3243,1587,3565,12703,8591,4925,15715,8090,3093,2375,8904,4752,1518,672,3160,1680,790,603,1359,5728,2355,2662,8477,4354,1427,1042,5323,3288,1135,564,3222,1907,794,539,1924,3881,1484,1476,4812,14485,5506,3794,11847,8729,4000,1469,6933,5424,3382,2435,4806,13320,8701,6984,20190,328859
0.28132477018007807,13170,3103,5583,10474,3222,1235,854,2433,4781,2090,2257,4000,8428,3427,5823,11071,4377,1017,1859,3380,1620,339,341,1037,965,350,464,1066,2551,711,1626,2892,5769,1009,1681,5776,2294,479,590,2034,2688,809,1069,2312,3971,872,2191,4411,9014,2616,4004,9119,3498,1284,1059,2276,5801,2148,3088,4067,9803,3107,5464,11395,222348
0.2841022941858157,12435,3567,4604,10522,3168,1581,961,3037,3493,2114,1654,3326,7626,4146,5118,10624,4759,1312,1683,4116,2175,532,383,1335,1042,441,422,1042,2982,953,1638,3710,4771,944,1166,4985,2315,618,522,2112,2037,710,763,1951,3217,938,1778,4182,9163,2924,3134,7891,4212,1694,1081,2798,5294,2302,2622,3796,9287,3748,5480,11653,216591
0.28189285331739794,8587,3391,2405,8354,3079,1815,723,3141,1895,1704,770,1989,7121,4534,2710,8381,4134,1640,1408,4819,2529,805,337,1734,756,411,291,655,2950,1247,1658,4596,2404,780,541,2840,1800,660,266,1686,949,419,285,985,2066,844,853,2654,7612,2947,2005,6732,4593,2125,787,3890,2965,1878,1292,2788,7159,4770,3702,11433,177383
0.2786729265345242,7290,2669,2273,6918,2390,1325,576,2362,1852,1269,787,1829,6097,3433,2385,6894,3162,1178,1130,3526,1827,576,306,1197,699,312,266,576,2209,959,1263,3292,2440,640,599,2632,1285,459,261,1259,961,371,314,880,1819,672,789,2264,6258,2166,1735,5733,3494,1546,710,2905,2799,1313,1159,2259,5767,3591,3093,8984,143986
0.29967295886166734,6360,1676,2944,4724,1715,638,489,1204,2480,1162,1232,1909,3734,1534,2882,4580,2301,547,951,1558,801,164,182,492,458,193,272,564,1221,405,871,1278,2996,548,948,2592,1239,246,322,1044,1509,388,551,1171,1954,431,1122,2019,4047,1275,1940,3856,1602,591,494,1035,2637,1108,1564,1882,4209,1352,2316,4063,104574
0.30210229055538124,2916,770,1301,2214,746,325,268,536,1111,505,583,865,1743,684,1199,2148,1069,258,420,715,404,106,109,239,230,120,140,268,586,163,382,564,1390,277,452,1145,565,144,154,490,685,216,238,489,856,226,510,832,1827,570,891,1700,747,283,227,429,1238,512,667,802,1803,613,1128,2010,47805
0.2902741269245212,210,39,87,114,40,10,8,26,56,27,43,42,100,33,71,98,44,10,24,28,14,4,7,16,11,3,9,9,27,4,28,22,88,9,17,66,24,13,9,25,48,12,22,39,44,12,33,50,108,26,40,94,28,14,8,14,65,29,47,48,97,15,58,93,2663
0.315541601255887,23,9,13,29,14,9,2,11,9,12,4,7,18,21,6,25,19,7,7,13,10,1,1,8,3,4,0,3,14,2,12,14,11,4,5,7,8,3,3,9,4,2,1,2,7,3,0,14,22,16,7,21,14,7,4,13,11,5,4,12,27,12,14,33,637
